stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
ABL1BOUT,,"Boutzeur",,50.396622,2.696950,,,0,
ABL1MAIR,,"Ablain Mairie",,50.391977,2.711805,,,0,
ABL1NAMU,,"Namur",,50.394299,2.703814,,,0,
ABL1NDDL,,"Notre Dame De Lorette",,50.401560,2.715675,,,0,
ABL1VEGL,,"Vieille Eglise",,50.392574,2.721663,,,0,
ABL2MAIR,,"Ablain Mairie",,50.391993,2.712036,,,0,
ABL2NAMU,,"Namur",,50.394370,2.703796,,,0,
ABL2VEGL,,"Vieille Eglise",,50.392664,2.721621,,,0,
ACH1MAI2,,"Leclerc",,50.383748,2.886170,,,0,
ACH1SAD1,,"Acheville Allobus",,50.383334,2.885103,,,0,
ACH2MAI2,,"Leclerc",,50.383695,2.885973,,,0,
ACH2SAD1,,"Acheville Allobus",,50.383420,2.884376,,,0,
AIX1CIME,,"Aix-Noulette Cimetière",,50.430596,2.714424,,,0,
AIX1ECBR,,"Ecole Bruyères",,50.419050,2.716784,,,0,
AIX1EPIN,,"Epinette",,50.441212,2.695972,,,0,
AIX1LANT,,"Lantoine",,50.423244,2.712754,,,0,
AIX1MALT,,"Malterie",,50.425402,2.705326,,,0,
AIX1PNOU,,"Noulette",,50.415157,2.720691,,,0,
AIX1RBOU,,"Rue de Bouvigny",,50.422603,2.704426,,,0,
AIX1SAD1,,"Aix-Noulette Allobus",,50.427483,2.712027,,,0,
AIX1SGER,,"Aix-Noulette Centre",,50.426803,2.711616,,,0,
AIX1STFL,,"Florent",,50.425788,2.710489,,,0,
AIX2CIME,,"Aix-Noulette Cimetière",,50.430650,2.714341,,,0,
AIX2ECBR,,"Ecole Bruyères",,50.419314,2.716526,,,0,
AIX2EPIN,,"Epinette",,50.442228,2.695319,,,0,
AIX2LANT,,"Lantoine",,50.423512,2.712620,,,0,
AIX2MALT,,"Malterie",,50.425366,2.705214,,,0,
AIX2PNOU,,"Noulette",,50.415154,2.720740,,,0,
AIX2RBOU,,"Rue de Bouvigny",,50.422606,2.704327,,,0,
AIX2SAD1,,"Aix-Noulette Allobus",,50.427723,2.712039,,,0,
AIX2SGER,,"Aix-Noulette Centre",,50.426927,2.711599,,,0,
AIX2STFL,,"Florent",,50.425657,2.710386,,,0,
