route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1-16,2018_09H-_PS1F-Fête-1-01,1310187-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310188-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310189-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310190-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310191-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310192-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310193-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310194-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310195-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310196-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310197-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310198-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310199-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310200-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310201-2018_09H-_PS1F-Fête-1-01,"NOYELLES-GODAULT Europe",1,,10064
1-16,2018_09H-_PS1F-Fête-1-01,1310202-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310203-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310204-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310205-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310206-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310207-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310208-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310209-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310210-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310211-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310212-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310213-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310214-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310215-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
1-16,2018_09H-_PS1F-Fête-1-01,1310216-2018_09H-_PS1F-Fête-1-01,"Liévin - Université",0,,10066
68-16,2018_09H-_PS1F-Fête-1-01,1310217-2018_09H-_PS1F-Fête-1-01,"BRUAY Lycée TP",0,,680101
