service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2018_09H-_PSl-Lundi-01,1,0,0,0,0,0,0,20180903,20181217
2018_09H-_PSl-Lundi-01-1000000,1,0,0,0,0,0,0,20180903,20181217
2018_09H-_PSa-Mardi-01,0,1,0,0,0,0,0,20180904,20181218
2018_09H-_PSa-Mardi-01-0100000,0,1,0,0,0,0,0,20180904,20181218
2018_09H-_PSm-Mercredi-01,0,0,1,0,0,0,0,20180905,20181219
2018_09H-_PSm-Mercredi-01-0010000,0,0,1,0,0,0,0,20180905,20181219
2018_09H-_PSj-Jeudi-01,0,0,0,1,0,0,0,20180906,20181220
2018_09H-_PSj-Jeudi-01-0001000,0,0,0,1,0,0,0,20180906,20181220
2018_09H-_PSv-Vendredi-01,0,0,0,0,1,0,0,20180907,20181221
2018_09H-_PSv-Vendredi-01-0000100,0,0,0,0,1,0,0,20180907,20181221
2018_09H-_PSs-Samedi-01,0,0,0,0,0,1,0,20180908,20181222
2018_09H-_PSs-Samedi-01-0000010,0,0,0,0,0,1,0,20180908,20181222
2018_09H-_PSd-Dimanche-01,0,0,0,0,0,0,1,20180909,20181230
2018_09H-_VSlmjs-Lundi-01,1,0,0,0,0,0,0,20181022,20181231
2018_09H-_VSlmjs-Lundi-01-1000000,1,0,0,0,0,0,0,20181022,20181231
2018_09H-_VSa-Mardi-01,0,1,0,0,0,0,0,20181023,20181030
2018_09H-_VSa-Mardi-01-0100000,0,1,0,0,0,0,0,20181023,20181030
2018_09H-_VSm-Mercredi-01,0,0,1,0,0,0,0,20181024,20181226
2018_09H-_VSm-Mercredi-01-0010000,0,0,1,0,0,0,0,20181024,20181226
2018_09H-_VSj-Jeudi-01,0,0,0,1,0,0,0,20181025,20181227
2018_09H-_VSj-Jeudi-01-0001000,0,0,0,1,0,0,0,20181025,20181227
2018_09H-_VSv-Vendredi-01,0,0,0,0,1,0,0,20181026,20181228
2018_09H-_VSv-Vendredi-01-0000100,0,0,0,0,1,0,0,20181026,20181228
2018_09H-_VSs-Samedi-01,0,0,0,0,0,1,0,20181027,20181229
2018_09H-_VSs-Samedi-01-0000010,0,0,0,0,0,1,0,20181027,20181229
2018_09H-_PS1F-Fête-1-01,1,1,1,1,1,1,1,20181101,20181225
