service_id,date,exception_type
2018_09H-_PSl-Lundi-01,20181022,2
2018_09H-_PSl-Lundi-01-1000000,20181022,2
2018_09H-_PSl-Lundi-01,20181029,2
2018_09H-_PSl-Lundi-01-1000000,20181029,2
2018_09H-_PSa-Mardi-01,20181023,2
2018_09H-_PSa-Mardi-01-0100000,20181023,2
2018_09H-_PSa-Mardi-01,20181030,2
2018_09H-_PSa-Mardi-01-0100000,20181030,2
2018_09H-_PSm-Mercredi-01,20181024,2
2018_09H-_PSm-Mercredi-01-0010000,20181024,2
2018_09H-_PSm-Mercredi-01,20181031,2
2018_09H-_PSm-Mercredi-01-0010000,20181031,2
2018_09H-_PSj-Jeudi-01,20181025,2
2018_09H-_PSj-Jeudi-01-0001000,20181025,2
2018_09H-_PSj-Jeudi-01,20181101,2
2018_09H-_PSj-Jeudi-01-0001000,20181101,2
2018_09H-_PSv-Vendredi-01,20181026,2
2018_09H-_PSv-Vendredi-01-0000100,20181026,2
2018_09H-_PSv-Vendredi-01,20181102,2
2018_09H-_PSv-Vendredi-01-0000100,20181102,2
2018_09H-_PSs-Samedi-01,20181027,2
2018_09H-_PSs-Samedi-01-0000010,20181027,2
2018_09H-_PSs-Samedi-01,20181103,2
2018_09H-_PSs-Samedi-01-0000010,20181103,2
2018_09H-_VSlmjs-Lundi-01,20181105,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181105,2
2018_09H-_VSlmjs-Lundi-01,20181112,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181112,2
2018_09H-_VSlmjs-Lundi-01,20181119,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181119,2
2018_09H-_VSlmjs-Lundi-01,20181126,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181126,2
2018_09H-_VSlmjs-Lundi-01,20181203,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181203,2
2018_09H-_VSlmjs-Lundi-01,20181210,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181210,2
2018_09H-_VSlmjs-Lundi-01,20181217,2
2018_09H-_VSlmjs-Lundi-01-1000000,20181217,2
2018_09H-_VSm-Mercredi-01,20181107,2
2018_09H-_VSm-Mercredi-01-0010000,20181107,2
2018_09H-_VSm-Mercredi-01,20181114,2
2018_09H-_VSm-Mercredi-01-0010000,20181114,2
2018_09H-_VSm-Mercredi-01,20181121,2
2018_09H-_VSm-Mercredi-01-0010000,20181121,2
2018_09H-_VSm-Mercredi-01,20181128,2
2018_09H-_VSm-Mercredi-01-0010000,20181128,2
2018_09H-_VSm-Mercredi-01,20181205,2
2018_09H-_VSm-Mercredi-01-0010000,20181205,2
2018_09H-_VSm-Mercredi-01,20181212,2
2018_09H-_VSm-Mercredi-01-0010000,20181212,2
