route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-16,1,"NOYELLES-GODAULT - LENS - LIEVIN",,3,
2-16,2,"BEUVRY - BETHUNE - BRUAY-LA-BUISSIERE",Bulle 2,3,
3-16,3,"VENDIN-LE-VIEIL - LENS - AVION",,3,
4-16,4,"ANNEZIN - BETHUNE - BEUVRY",,3,
10-16,10,"BEUVRY - BETHUNE - OBLINGHEM",,3,
11-16,11,"NOYELLES-GODAULT - NOYELLES-LES-VERMELLES - GRENAY",,3,
12-16,12,"BÉTHUNE - NŒUX-LES-MINES - BARLIN",,3,
13-16,13,"NOYELLES-GODAULT - LENS - ANGRES",,3,
14-16,14,"BRUAY-LA-BUISSIERE - DIVION - CAUCHY-A-LA-TOUR",,3,
15-16,15,"NOYELLES-GODAULT - CARVIN - OIGNIES",,3,
16-16,16,"BRUAY-LA-BUISSIERE - HOUDAIN - BRUAY-LA-BUISSIERE",,3,
17-16,17,"OIGNIES - LIBERCOURT - CARVIN",,3,
20-16,20,"BETHUNE - AUCHEL - LOZINGHEM",,3,
21-16,21,"LENS - FOUQUIERES-LEZ-LENS - COURRIERES",,3,
22-16,22,"BETHUNE - VERMELLES - LENS",,3,
23-16,23,"LENS - BILLY-MONTIGNY - HENIN-BEAUMONT",,3,
24-16,24,"BETHUNE - NOEUX-LES-MINES - LABOURSE",,3,
25-16,25,"HENIN-BEAUMONT - BILLY-MONTIGNY - MERICOURT",,3,
26-16,26,"BETHUNE - BARLIN - RUITZ",,3,
27-16,27,"HENIN-BEAUMONT - DOURGES - NOYELLES-GODAULT",,3,
28-16,28,"NOEUX-LES-MINES - BARLIN - BRUAY-LA-BUISSIERE",,3,
29-16,29,"LEFOREST - HENIN-BEAUMONT - OIGNIES",,3,
30-16,30,"LOZINGHEM - AUCHEL - CAUCHY-A-LA-TOUR",,3,
31-16,31,"FOND D’ANGLET - CENTRE VILLE - SITE 11/19",,3,
32-16,32,"BRUAY-LA-BUISSIERE - HAILLICOURT - DIVION",,3,
33-16,33,"LIBERCOURT - HARNES - LENS",,3,
34-16,34,"BRUAY-LA-BUISSIERE - HOUDAIN",,3,
35-16,35,"LA BASSEE - LENS - AVION",,3,
37-16,37,"LENS - WINGLES - AUCHY-LES-MINES",,3,
39-16,39,"LENS - ANNAY-SOUS-LENS - CARVIN",,3,
40-16,40,"LENS - BRUAY-LA-BUISSIERE - AUCHEL - BURBURE",,3,
50-16,50,"BETHUNE - GOSNAY - BRUAY-LA-BUISSIERE (+TAD)",,3,
51-16,51,"LENS - CARVIN",,3,
52-16,52,"BEUVRY - VAUDRICOURT - BRUAY-LA-BUISSIERE (+TAD)",,3,
53-16,53,"CARVIN - WINGLES - HULLUCH (+TAD)",,3,
54-16,54,"BETHUNE - ANNEZIN - HINGES (+TAD)",,3,
55-16,55,"BULLY-LES-MINES - SAINS-EN-GOHELLE (+TAD)",,3,
56-16,56,"BETHUNE - BILLY-BERCLAU",,3,
57-16,57,"LENS - LIEVIN - ABLAIN-SAINT-NAZAIRE (+TAD)",,3,
58-16,58,"LA - BASSEE - CUINCHY - VERMELLES (+TAD)",,3,
59-16,59,"LENS - AVION - VIMY (+TAD)",,3,
60-16,60,"HAISNES - LA - BASSEE - FESTUBERT (+TAD)",,3,
62-16,62,"BRUAY-LA-BUISSIERE - ESTREE-CAUCHY (+TAD)",,3,
64-16,64,"BRUAY-LA-BUISSIERE - HOUDAIN - BAJUS (+TAD)",,3,
66-16,66,"BRUAY-LA-BUISSIERE - CAMBLAIN-CHATELAIN (+TAD)",,3,
68-16,68,"BRUAY-LA-BUISSIERE - LAPUGNOY - LABEUVRIERE (+TAD)",,3,
70-16,70,"BRUAY-LA-BUISSIERE - BARLIN (+TAD)",,3,
90-16,90,"NAVETTE BETHUNE",,3,
91-16,91,"NAVETTE MARCHÉ LENS",,3,
92-16,92,"NAVETTE BRUAY",,3,
93-16,93,"ALLOBUS DELTA 3 - LIBERCOURT - DOURGES",,3,
96-16,96,"NAVETTE PI ARTOIS FLANDRE",,3,
97-16,97,"NAVETTE LOUVRE LENS",,3,
1121-16,1121,"ELEU - AVION Collège Rousseau et Lycée Picasso",,3,
1122-16,1122,"AVION - AVION Collège Rousseau et Lycée Picasso",,3,
1123-16,1123,"MERICOURT - AVION Collège Rousseau et Lyc Picasso",,3,
1130-16,1130,"LENS - SALLAUMINES Lycée La Peupleraie",,3,
1131-16,1131,"AVION - SALLAUMINES Lycée La Peupleraie",,3,
1132-16,1132,"LENS - SALLAUMINES Collège Langevin",,3,
1133-16,1133,"HARNES - SALLAUMINES Lycée La Peupleraie",,3,
1134-16,1134,"ROUVROY - MERICOURT et SALLAUMINES Etab. Scolaires",,3,
114-16,114,"BRUAY-LA-BUISSIERE - DIVION - DIEVAL",,3,
1140-16,1140,"AVION - MERICOURT Collège Wallon",,3,
1200-16,1200,"OIGNIES - CARVIN Etab. Scolaires",,3,
1201-16,1201,"LIBERCOURT - CARVIN Etab. Scolaires",,3,
1210-16,1210,"PONT A VENDIN - CARVIN Collège De Vinci",,3,
1211-16,1211,"PONT A VENDIN - CARVIN Collège De Vinci",,3,
1220-16,1220,"EVIN MALMAISON - CARVIN Collège St Druon",,3,
1221-16,1221,"MONTIGNY EN G. - CARVIN Etab. Scolaires",,3,
1222-16,1222,"VENDIN LE VIEIL - CARVIN Collège St Druon",,3,
1300-16,1300,"LEFOREST - COURCELLES Collège Delegorgue",,3,
1310-16,1310,"LEFOREST - HENIN Etab. Scolaires",,3,
1311-16,1311,"EVIN MALMAISON - HENIN Etab. Scolaires",,3,
1312-16,1312,"LEFOREST - HENIN Etab. Scolaires",,3,
1313-16,1313,"COURCELLES - HENIN Etab. Scolaires",,3,
1314-16,1314,"NOYELLES GODAULT - HENIN Etab. Scolaires",,3,
1315-16,1315,"COURCELLES - HENIN Etab. Scolaires",,3,
1316-16,1316,"LEFOREST - HENIN Etab. Scolaires",,3,
1317-16,1317,"DOURGES - HENIN Etab. Scolaires",,3,
1319-16,1319,"HENIN - HENIN Etab. Scolaires",,3,
1320-16,1320,"ROUVROY - HENIN Etab. Scolaires",,3,
1321-16,1321,"BILLY MONTIGNY - HENIN Etab. Scolaires",,3,
1322-16,1322,"AVION - HENIN Etab. Scolaires",,3,
